year,state,gdp
1963,National Average,11902.1
1964,National Average,12755.2
1965,National Average,13817.5
1966,National Average,15040.6
1967,National Average,15917.3
1968,National Average,17403.3
1969,National Average,18880.4
1970,National Average,19849
1971,National Average,21513.2
1972,National Average,23731.2
1973,National Average,26598
1974,National Average,28863.2
1975,National Average,31416.2
1976,National Average,34911.7
1977,National Average,38949.2
1978,National Average,43984.9
1979,National Average,48812.1
1980,National Average,53214.4
1981,National Average,59947.4
1982,National Average,62968
1983,National Average,67556.3
1984,National Average,75562.1
1985,National Average,80914.9
1986,National Average,85113.9
1987,National Average,91157.3
1988,National Average,99078.5
1989,National Average,105217.3
1990,National Average,110818.6
1991,National Average,114562.1
1992,National Average,120934.2
1993,National Average,126817.6
1994,National Average,135546
1995,National Average,143124.9
1996,National Average,151960.1
1997,National Average,162439.8
1998,National Average,176410.3
1999,National Average,187555.4
2000,National Average,199733.9
2001,National Average,206187
2002,National Average,213114.2
2003,National Average,223244.6
2004,National Average,237995.3
2005,National Average,254065.4
2006,National Average,269253.8
2007,National Average,281683
2008,National Average,286695.3
2009,National Average,281388
2010,National Average,291924.3
2011,National Average,302576.3
2012,National Average,315368.2
2013,National Average,326892.8
2014,National Average,341330.8
2015,National Average,355046.5
2016,National Average,364594.5
2017,National Average,379847.6
1963,Alabama,7343.1
1964,Alabama,8219.6
1965,Alabama,8994.3
1966,Alabama,9847.2
1967,Alabama,10052.7
1968,Alabama,10976.6
1969,Alabama,11865.9
1970,Alabama,12474.8
1971,Alabama,13623.6
1972,Alabama,15356.3
1973,Alabama,17428.4
1974,Alabama,19453.6
1975,Alabama,21346
1976,Alabama,24324
1977,Alabama,26724.9
1978,Alabama,30546.5
1979,Alabama,33711.9
1980,Alabama,36142.5
1981,Alabama,40257.4
1982,Alabama,41778.1
1983,Alabama,45678.6
1984,Alabama,50010.1
1985,Alabama,53823.6
1986,Alabama,56133.8
1987,Alabama,60751.8
1988,Alabama,66007.5
1989,Alabama,68394.4
1990,Alabama,71610
1991,Alabama,76043.3
1992,Alabama,81260.1
1993,Alabama,84562.8
1994,Alabama,90098.5
1995,Alabama,95819.1
1996,Alabama,100145.9
1997,Alabama,104805.2
1998,Alabama,109404.3
1999,Alabama,115030.9
2000,Alabama,119242.4
2001,Alabama,122449.3
2002,Alabama,127792.3
2003,Alabama,133739.2
2004,Alabama,146524.7
2005,Alabama,155970.4
2006,Alabama,163853.6
2007,Alabama,169678.4
2008,Alabama,172686.8
2009,Alabama,168348
2010,Alabama,174753
2011,Alabama,181349.8
2012,Alabama,186299
2013,Alabama,191481
2014,Alabama,194059.7
2015,Alabama,200317.5
2016,Alabama,203354.7
2017,Alabama,211196.5
1963,Alaska,1083.1
1964,Alaska,1229.9
1965,Alaska,1374.3
1966,Alaska,1494
1967,Alaska,1642.8
1968,Alaska,1899.5
1969,Alaska,2073.5
1970,Alaska,2359.2
1971,Alaska,2539.5
1972,Alaska,2742.6
1973,Alaska,3040.7
1974,Alaska,3998.9
1975,Alaska,6220.1
1976,Alaska,7470.3
1977,Alaska,7544.3
1978,Alaska,9129.8
1979,Alaska,10891.4
1980,Alaska,15281.8
1981,Alaska,21823.6
1982,Alaska,23460.6
1983,Alaska,22591.2
1984,Alaska,23787.5
1985,Alaska,26142.5
1986,Alaska,19180.7
1987,Alaska,22925.4
1988,Alaska,21270
1989,Alaska,23453.3
1990,Alaska,25039.5
1991,Alaska,22282.5
1992,Alaska,22752.8
1993,Alaska,23284.2
1994,Alaska,23604.7
1995,Alaska,25448.8
1996,Alaska,26736.9
1997,Alaska,27581.3
1998,Alaska,24170.4
1999,Alaska,24732.6
2000,Alaska,26778.3
2001,Alaska,28420.4
2002,Alaska,29605.3
2003,Alaska,31799.7
2004,Alaska,34970.7
2005,Alaska,39774.8
2006,Alaska,44435.3
2007,Alaska,48972.6
2008,Alaska,54752.4
2009,Alaska,49585.9
2010,Alaska,52882.5
2011,Alaska,56259.9
2012,Alaska,57670.1
2013,Alaska,56622.8
2014,Alaska,55547.4
2015,Alaska,50636.1
2016,Alaska,49380.9
2017,Alaska,51479
1963,Arizona,4482.1
1964,Arizona,4817
1965,Arizona,5027.5
1966,Arizona,5527.3
1967,Arizona,5783.4
1968,Arizona,6593.4
1969,Arizona,7563.2
1970,Arizona,8569
1971,Arizona,9649
1972,Arizona,11291.9
1973,Arizona,13329.8
1974,Arizona,14611.3
1975,Arizona,15284.3
1976,Arizona,16970
1977,Arizona,19609.2
1978,Arizona,23278.5
1979,Arizona,27495.4
1980,Arizona,30764.3
1981,Arizona,34268.6
1982,Arizona,35793.7
1983,Arizona,39774
1984,Arizona,46135
1985,Arizona,50708.7
1986,Arizona,55880.9
1987,Arizona,60046.7
1988,Arizona,64944.6
1989,Arizona,67895.5
1990,Arizona,70631.7
1991,Arizona,73358.3
1992,Arizona,82682.2
1993,Arizona,89299.8
1994,Arizona,100374.2
1995,Arizona,109905.7
1996,Arizona,119530.2
1997,Arizona,129279.1
1998,Arizona,143392.4
1999,Arizona,155344.5
2000,Arizona,164611.6
2001,Arizona,171474.2
2002,Arizona,179413.3
2003,Arizona,192751.2
2004,Arizona,205420.8
2005,Arizona,228231.2
2006,Arizona,248230.7
2007,Arizona,262322
2008,Arizona,259366.7
2009,Arizona,243929.4
2010,Arizona,248210
2011,Arizona,257947.8
2012,Arizona,268288.8
2013,Arizona,275199.1
2014,Arizona,284573.8
2015,Arizona,297116.4
2016,Arizona,310928.9
2017,Arizona,326445.8
1963,Arkansas,3791.2
1964,Arkansas,4147.9
1965,Arkansas,4445.8
1966,Arkansas,4867.8
1967,Arkansas,5131.7
1968,Arkansas,5704.3
1969,Arkansas,6231.9
1970,Arkansas,6666.6
1971,Arkansas,7440.2
1972,Arkansas,8494.1
1973,Arkansas,9886.4
1974,Arkansas,10865.2
1975,Arkansas,11942
1976,Arkansas,13704.4
1977,Arkansas,15182.3
1978,Arkansas,17477.1
1979,Arkansas,19099.1
1980,Arkansas,20275.6
1981,Arkansas,22890.8
1982,Arkansas,23527
1983,Arkansas,25291.9
1984,Arkansas,28464.7
1985,Arkansas,29325.7
1986,Arkansas,30798.5
1987,Arkansas,32663.6
1988,Arkansas,35004.5
1989,Arkansas,37127.6
1990,Arkansas,38679.8
1991,Arkansas,41571.7
1992,Arkansas,45017.8
1993,Arkansas,47566
1994,Arkansas,51415.9
1995,Arkansas,54611.8
1996,Arkansas,57976.4
1997,Arkansas,60332.9
1998,Arkansas,62442.5
1999,Arkansas,66816.7
2000,Arkansas,68770
2001,Arkansas,70601.4
2002,Arkansas,73950.4
2003,Arkansas,78218.8
2004,Arkansas,84624.5
2005,Arkansas,89610
2006,Arkansas,94384.5
2007,Arkansas,96948.2
2008,Arkansas,98955.3
2009,Arkansas,97058.9
2010,Arkansas,101690
2011,Arkansas,106085.4
2012,Arkansas,108745.2
2013,Arkansas,114251.5
2014,Arkansas,117339.1
2015,Arkansas,118435.8
2016,Arkansas,119947.3
2017,Arkansas,122703.5
1963,California,67808.6
1964,California,73512.7
1965,California,78252.7
1966,California,84627.5
1967,California,89570.7
1968,California,98721
1969,California,106629.3
1970,California,111984.6
1971,California,120372.3
1972,California,133142.6
1973,California,147230.7
1974,California,161815.4
1975,California,178393.9
1976,California,197346.7
1977,California,229592
1978,California,262802.6
1979,California,293491.4
1980,California,327958.5
1981,California,368808.4
1982,California,393787.7
1983,California,426143.2
1984,California,482166.1
1985,California,523905.8
1986,California,563081.9
1987,California,615359.5
1988,California,671575
1989,California,722978.9
1990,California,773460
1991,California,790045.6
1992,California,807358.4
1993,California,826446.9
1994,California,861360
1995,California,911576.8
1996,California,964185.5
1997,California,1037091.2
1998,California,1147841.6
1999,California,1247093
2000,California,1366561
2001,California,1384111.2
2002,California,1436430.9
2003,California,1527294
2004,California,1632216.9
2005,California,1753866.2
2006,California,1874737.3
2007,California,1955856
2008,California,1990678.2
2009,California,1920061.8
2010,California,1974614.5
2011,California,2050056.8
2012,California,2144497.3
2013,California,2262771.2
2014,California,2396552.1
2015,California,2557131.9
2016,California,2665348.9
